Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.562187387704	0.686735397911169	-1.99870075	0.676921799999999
abar1238	0.24372960191695	0.572415562132096	-0.844777775	1.38625625
abau1245	-0.251121914321	0.60789484306502	-1.51687325	0.884150525
abee1242	0.3128349703725	0.756768305052581	-1.19393025	1.837075
aben1249	-0.040852735135	0.634209326461144	-1.2975525	1.221445
abkh1244	0.08269817745075	0.755558417894718	-1.39000225	1.6140105
abua1245	0.061344920561	0.606387619269582	-1.189256	1.276909
abui1241	0.57872318916925	0.667162179052499	-0.61300415	1.9617945
abun1252	0.03062519386995	0.74431392662482	-1.434076	1.5191955
acha1249	-0.392014570544	0.742093050147662	-1.912076	0.988219875
acha1250	-0.239195899895	0.760577773406823	-1.7849535	1.2548805
ache1245	-0.890701765984	0.768983897444484	-2.54502825	0.4858267
ache1246	-0.134516196363	0.755289395809498	-1.6871345	1.32011875
achi1256	0.1062551579585	0.707182162528419	-1.36347125	1.51935325
achi1257	-0.2135593931915	0.709162660676194	-1.66522875	1.066059
achu1247	0.27521670834035	0.737645845029413	-1.12762925	1.82460175
achu1248	-0.23304654813875	0.741306282976085	-1.8203955	1.25226625
acol1236	-0.111230319732	0.719210634193736	-1.54298075	1.32705475
adan1251	0.493686691709	0.659338137937102	-0.744939975	1.8790065
adny1235	-0.1137415144842	0.764205729520821	-1.72721125	1.36259025
adon1237	-0.18137319945035	0.684964898897579	-1.53901425	1.094993
adze1240	-0.3891406593372	0.58234762212459	-1.57991375	0.72056505
aeky1238	0.218954462265	0.653896344994959	-1.09404225	1.591534
afad1236	0.127429358662	0.691421455061818	-1.2918575	1.491427
afar1241	-0.2807705796455	0.757707723931247	-1.84339475	1.170174
aghe1239	0.20062942545	0.576098366980645	-0.895702925	1.38021575
aghu1255	-0.290469747125	0.740647412623477	-1.84744325	1.082062
agob1244	-0.3423071546313	0.704102191193118	-1.7758295	1.00717225
agua1253	0.1774805085935	0.735091828725172	-1.27896575	1.67609575
agus1235	-0.0754021371855	0.681371161244906	-1.42491075	1.272757
agut1237	0.176084483553	0.66903726130073	-1.08226575	1.523658
aheu1239	-0.230742564005	0.750303553130739	-1.7218715	1.200137
ahin1234	0.856375640029	0.660483161066866	-0.3279291	2.28602525
aika1237	-0.01060413385	0.702314237328583	-1.4452545	1.41542925
aime1238	0.2184672634225	0.676680833353028	-1.123532	1.56959175
ainu1240	-0.086910777597	0.775417280127417	-1.6854765	1.404832
aito1238	0.359389628864	0.671490975643506	-0.932064175	1.72110825
ajab1235	0.5327702677475	0.745148803112545	-0.898200525	2.0904485
ajas1235	-0.171769858417	0.723637140819139	-1.69227925	1.2994935
ajie1238	0.418306822156805	0.665525685716139	-0.78909515	1.88004075
ajyi1238	-0.37638545935535	0.738461025302919	-1.94702475	1.077258
akan1250	0.356427800325	0.760133246914243	-1.13185325	1.86174649999999
akei1237	0.04563885333975	0.596472907084964	-1.09190825	1.296654
akha1245	-0.079666227208	0.631640961692472	-1.402741	1.1068475
akoo1248	0.14454381431	0.641006819067707	-1.080103	1.4395585
akun1241	0.080696348744	0.707844334870651	-1.2865715	1.48454725
alab1237	-0.16270021776	0.741530342283095	-1.67891425	1.33313375
alab1254	0.128432829148195	0.682284694171753	-1.16714	1.5133345
alac1244	0.2725274506195	0.67576844076229	-1.012265	1.69434775
alag1248	-0.7694520672435	0.723323883014897	-2.2967635	0.520478625
alam1246	0.293743620503	0.61440068147331	-0.923791425	1.54574724999999
alba1269	-0.4370649759605	0.701633121159236	-1.9168215	0.846738349999994
