code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	main_n	UNCON_Estimate	UNCON_low_95_CI	UNCON_upp_95_CI	UNCON_SIG	fam_n	FAM_Estimate	FAM_low_95_CI	FAM_upp_95_CI	FAM_SIG	COVAR_Estimate	COVAR_low_95_CI	COVAR_upp_95_CI	COVAR_SIG	BT_median_BF	BT_low_95_HDI	BT_upp_95_HDI	BT_HDI_SIG	SPAPHY_median_Estimate	SPAPHY_median_low_95_CI	SPAPHY_median_upp_95_CI	SPAPHY_SIG	supported
0057bKA	57	57	30 languages of Greenberg 1963 sample Source Greenberg 1963: 86, #18	b	Universal 18. When the descriptive adjective precedes the noun, the demonstrative and the numeral, with overwhelmingly more than chance frequency, do likewise.	Adj-N > Dem-N	Adj-N > Dem-N	narrow word order	word order	word order	GB193:1 > GB025:1	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963 no. 18	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	Rijkhoff (1992: Chap 9) is a follow-up study	perfect	perfect	1839	2.294941	2.040221	2.563473	SIG	1565	2.18232418	0.40242035	3.9950546	SIG	1.5708999	0.21280018	2.730381	SIG	63.6754175	55.745815	81.172753	SIG	1.703619549	0.351967063	2.87927175	yes	SIG
0062aKA	62	62	30 languages of Greenberg 1963 sample Source Greenberg 1963: 91, #24	a	Universal 24. If the relative expression precedes the noun either as the only construction or as an alternate construction, either the language is postpositional, or the adjective precedes the noun or both.	Rel-N > Adj-N	Rel-N > Adj-N	narrow word order	word order	word order	GB328:1 > GB193:1	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963 no. 24	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1409	1.492988	1.239009	1.745081	SIG	1206	1.21830887	-0.25784656	2.8119223	NOT SIG	0.88327764	-0.20276058	1.9236331	NOT SIG	7.0894285	-0.022867	17.08411	NOT SIG	0.953050433	-0.097087042	2.0004495	no	NOT SIG
0062bKA	62	62	30 languages of Greenberg 1963 sample Source Greenberg 1963: 91, #24	b	Universal 24. If the relative expression precedes the noun either as the only construction or as an alternate construction, either the language is postpositional, or the adjective precedes the noun or both.	Rel-N > N-Adp	Rel-N > N-Adp	narrow word order	word order	word order	GB328:1 > GB075:1	BDT Dryer 1992	Greenberg 1963 no. 24	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1335	2.073952	1.804002	2.349073	SIG	1140	2.03239066	0.77297021	3.2977721	SIG	1.7719175	0.71748861	2.8215235	SIG	16.3365955	9.18783	31.754288	NOT SIG	1.898073739	0.805344613	2.942594625	yes	NOT SIG
0065_or_66KA	65, see 66	65	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 626; Hawkins 1980: 201; Hawkins 1983: 64	a	If a language has SOV word order, then if the adjective precedes the noun, the genitive precedes the noun. If a language has dominant SOV order and the genitive follows the governing noun, then the adjective likewise follows the noun.	SOV & Adj-N > Gen-N	SOV & Adj-N > Gen-N	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 & GB193:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 64	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	OK, we can"t implement SOV (also including OSV in this implementation)	OK	1786	2.109203	1.753013	2.48273	SIG	1512	1.14904014	-1.10397533	3.279969	NOT SIG	1.81685208	0.47697915	3.123335	SIG	17.231291	9.508846	34.338548	NOT SIG	2.004177297	0.521350838	3.392125375	yes	NOT SIG
0067_or_68KA	67, see 68	67	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 226, Hawkins 1980: 201, Hawkins 1983: 65	NA	If a language has VSO word order, then if the adjective follows the noun, the genitive follows the noun.	VSO & N-Adj > N-Gen	VSO & N-Adj > N-Gen	narrow word order	word order	word order	GB131:1 & GB132:0 & GB133:0 & GB193:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1979: 226, Hawkins 1980: 201, Hawkins 1983: 65	Hawkins 1983	1978	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	OK, we can"t implement VSO (also including VOS in this implementation)	OK	1786	1.4616	1.030307	1.909791	SIG	1512	1.08044542	-0.70193812	3.0018129	NOT SIG	0.9318125	-0.15593687	2.1772526	NOT SIG	18.1398375	10.331769	24.704384	SIG	1.017314128	-0.077958946	2.296118625	no	NOT SIG
0069KA	69	69	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 627; Hawkins 1980: 202; Hawkins 1983: 66	NA	If a language has Prep word order, then if the adjective follows the noun, the genitive follows the noun.	Adp-N & N-Adj > N-Gen	Adp-N & N-Adj > N-Gen	narrow word order	word order	word order	GB074:1 & GB193:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1979: 627; Hawkins 1980: 202; Hawkins 1983: 66	Hawkins 1983	1978	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1753	2.026816	1.811201	2.237507	SIG	1486	2.11800543	0.44306109	3.8238715	SIG	1.65862169	0.42614642	3.025104	SIG	40.9567975	31.142171	56.966384	SIG	1.780338492	0.484696263	3.203678125	yes	SIG
0070KA	70	70	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 67	NA	If a language has prepositions and any verb position other than SVO, then if the adjectives follows the noun, the genitive follows the noun.	Adp-N & no SVO & N-Adj > N-Gen	Adp-N & no SVO & N-Adj > N-Gen	narrow word order	word order	word order	GB074:1 & GB132:0 & GB193:1 > GB065:2	mostly consistent head-mod order Hawkins (1983)	Hawkins 1983: 67	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1694	0.9555954	0.42668	1.454931	SIG	1434	0.3014304	-1.7047208	1.9475967	NOT SIG	0.96545851	-0.88359822	2.5393533	NOT SIG	-7.6658395	-12.342837	-2.897908	NOT SIG	1.029255858	-0.726483012	2.5670125	no	NOT SIG
0071KA	71	71	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 628, Hawkins 1980: 203, Hawkins 1983: 67	NA	If a language has Postp word order, and if the adjective precedes the noun, then the genitive precedes the noun.	N-Adp & Adj-N > Gen-N	N-Adp & Adj-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB193:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1979: 628, Hawkins 1980: 203, Hawkins 1983: 67	Hawkins 1983	1978	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1678	1.896803	1.576871	2.243588	SIG	1415	1.22692382	-0.96490147	3.260793	NOT SIG	2.02837175	0.7799802	3.380684	SIG	14.6320595	4.311899	30.564082	NOT SIG	2.16851532	0.902116825	3.53901975	yes	NOT SIG
0072KA	72	72	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 71	NA	If a language has Prep word order, then if the demonstrative determiner follows the noun, the adjective follows the noun.	Adp-N & N-Dem > N-Adj	Adp-N & N-Dem > N-Adj	narrow word order	word order	word order	GB074:1 & GB025:2 >  GB193:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 71	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1728	1.734819	1.50454	1.972201	SIG	1472	1.4328047	-0.15276111	2.8314408	NOT SIG	1.5048513	-0.0228609	2.7431379	NOT SIG	21.431304	13.184621	34.976091	SIG	1.607592468	0.117515475	2.832379	yes	SIG
0073KA	73	73	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 82	NA	If the demonstrative determiner follows the noun, then the adjective follows the noun.	N-Dem > N-Adj	N-Dem > N-Adj	narrow word order	word order	word order	GB025:2 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Hawkins 1983: 82	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)	perfect	perfect	1839	2.070244	1.854176	2.29415	SIG	1565	2.3414667	1.1863524	3.5829323	SIG	2.1575614	1.44216205	2.9898144	SIG	88.106824	78.822829	98.101356	SIG	2.199629749	1.4739655	3.01764675	yes	SIG
0074KA	74	74	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	If a language has Prep word order, then if the numeral follows the noun, the adjective follows the noun.	Adp-N & N-Num > N-Adj	Adp-N & N-Num > N-Adj	narrow word order	word order	word order	GB074:1 & GB024:2 >  GB193:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)	perfect	perfect	1702	1.772603	1.507719	2.037058	SIG	1467	1.85050295	0.22472193	3.6846667	SIG	1.96092009	0.75351796	3.3632253	SIG	31.5215315	23.11241	39.777234	SIG	1.988148095	0.704288463	3.36008175	yes	SIG
0075KA	75	75	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 82	NA	If a language has noun before numeral, then it has noun before adjective.	N-Num > N-Adj	N-Num > N-Adj	narrow word order	word order	word order	GB024:2 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Hawkins 1983: 82	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)	perfect	perfect	1809	1.996131	1.780089	2.206792	SIG	1554	3.47043637	1.88909078	5.4575035	SIG	3.5162936	2.0903972	5.2496895	SIG	87.157797	77.869631	105.099734	SIG	3.547890395	2.105944375	5.290742625	yes	SIG
0084KA	84	84	languages in Moravcsik 1974 Source Moravcsik 1974: 27	NA	If in a language the verb agrees with anything, it agrees with some or all subjects.	verb agreement > agreement S	verb agr > agr S	hierarchy	agreement	agreement	(GB103:1 | GB104: 1 | GB093:1 | GB094:1) > (GB091:1 | GB092: 1)	NA	Moravcsik 1974: 27	Moravcsik 1974	143	38	biased against the Pacific/Papua/Australia	bias against the Pacific/Papua/Australia	bias against the Pacific, PNG, Australia, and/or South America	NA	perfect, the issue here is what exactly is meant by "all subjects". Is it "animate, inanimate, dummy etc"? - but this doesn"t matter for our implementation, the only effect could be that its missing out on some types of subject.	perfect	1662	1.7528902	1.5328903	1.9705788	SIG	1407	2.3710028	1.2817263	3.5406868	SIG	2.5745773	1.22570371	3.918462	SIG	60.9220885	51.427416	77.071711	SIG	2.676998863	1.2326235	4.14770425	yes	SIG
0087KA	87	87	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	IF a language has Prep word order, then if the demonstrative follows the noun, the relative clause follows the noun.	Adp-N & N-Dem > N-Rel	Adp-N & N-Dem > N-Rel	narrow word order	word order	word order	GB074:1 & GB025:2 >  GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1472	3.056695	2.459876	3.74995	SIG	1252	2.281943	-0.17099841	4.8299587	NOT SIG	3.21248612	1.01025002	5.5179938	SIG	21.975707	15.551523	28.966224	SIG	3.174588641	0.92189015	5.448189375	yes	SIG
0088KA	88	88	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 83-84	n	If a language has noun before demonstrative, then it has noun before relative clause.	N-Dem > N-Rel	N-Dem > N-Rel	narrow word order	word order	word order	GB025:2 > GB327:1	Dem N order is not correlated with other word orders, Dryer 1988	Hawkins 1983: 83-84	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1539	1.769296	1.447082	2.114248	SIG	1308	2.063580468	0.38424639	3.7760626	SIG	1.5082201	-0.06087068	2.9386029	NOT SIG	15.893443	10.033603	22.701229	SIG	1.524541409	-0.007300343	2.870957875	no	NOT SIG
0091KA	91	91	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	IF a language has Prep word order, then if the adjective follows the noun, the relative clause follows the noun.	Adp-N & N-Adj > N-Rel	Adp-N & N-Adj > N-Rel	narrow word order	word order	word order	GB074:1 & GB193:2 >  GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1465	2.706237	2.198722	3.253801	SIG	1248	2.17838015	0.28750696	3.9449535	SIG	2.5103109	1.0368961	4.1297414	SIG	19.0099775	9.748822	31.451941	NOT SIG	2.561392443	1.094596875	4.10110125	yes	NOT SIG
0093KA	93	93	? Source Greenberg, Osgood, & Jenkins 1963: xxi	NA	IF a language has pronominal gender in the 2nd person singular, THEN it has a greater probability of having this distinction in the 3rd person singular than of not having it.	gender 2SG > gender 3SG	gender 2SG > gender 3SG	hierarchy	gender	gender	GB196:1 > GB030:1	NA	Greenberg, Osgood, & Jenkins 1963: xxi	Greenberg, Osgood, & Jenkins 1963	109	NA	NA	NA	NA	observational	perfect	perfect	1947	3.017816	2.520169	3.575324	SIG	1651	3.7623829	1.43530758	6.4128376	SIG	4.441632537	2.5600119	6.8164815	SIG	37.5323075	28.395151	51.2329	SIG	4.505994591	2.72553125	6.787947375	yes	SIG
0095aKA	95	95	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 86	a	IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns) and (IF demonstratives precede nouns or numerals precede nouns, THEN genitives precede nouns).	N-Adp & (Adj-N | Rel-N) > Dem-N	N-Adp & (Adj-N|Rel-N) > Dem-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB025:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 86	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1276	2.248217	1.969741	2.543821	SIG	1087	1.79792039	0.38667904	3.3807583	SIG	1.683141898	0.78932395	2.6097945	SIG	34.6288795	27.211112	54.849225	SIG	1.731761443	0.812044138	2.648135375	yes	SIG
0095bKA	95	95	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 86	b	IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns) and (IF demonstratives precede nouns or numerals precede nouns, THEN genitives precede nouns).	N-Adp & (Adj-N | Rel-N) > Num-N	N-Adp & (Adj-N|Rel-N) > Num-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB024:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 86	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1262	0.9042121	0.661345	1.149215	SIG	1080	0.71586452	-0.75828693	2.2648856	NOT SIG	0.710754871	-0.39187312	1.8915279	NOT SIG	-4.664282	-15.351552	15.394427	NOT SIG	0.664263831	-0.481252375	1.7899385	no	NOT SIG
0096KA	96	96	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 111	NA	IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns and possessives preced nouns) and (IF demonstratives precede nouns or numerals precede nouns or possessives precede nouns, THEN genitives precede nouns).	N-Adp & (Adj-N | Rel-N) > PossPron-N	N-Adp & (Adj-N|Rel-N) > Pron-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 111	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1277	2.662498	2.344937	2.994196	SIG	1087	2.1250969	0.68103882	3.5010297	SIG	2.07336042	1.06074492	2.985922	SIG	39.6826335	31.764819	46.105304	SIG	2.061681535	1.01639675	3.02685925	yes	SIG
0101KA	101	101	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 109	NA	If the possessive adjective follows the noun, then the descriptive adjective follows the noun.	N-Gen > N-Adj	N-Gen > N-Adj	narrow word order	word order	word order	GB065:2 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Hawkins 1983: 109	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1871	1.055924	0.8584397	1.2630063	SIG	1587	0.7608892	-0.79136386	2.2529575	NOT SIG	0.98020904	0.18364218	1.8427715	SIG	4.930712	-3.115687	18.828571	NOT SIG	1.022798503	0.180441388	1.932571375	yes	NOT SIG
0107aKA	107	107	sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383	a	Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages	VO > N-Rel	VO > N-Rel	narrow word order	word order	word order	(GB131:1 | GB132:1) & GB133:0 > GB327:1	BDT Dryer 1992	Greenberg 1963	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, our implementation of VO/OV isn"t ideal	OK	1516	2.637569	2.296415	2.988099	SIG	1288	1.8826995	0.10524256	3.9040246	SIG	2.2106546	0.78375253	3.7980543	SIG	33.399752	25.58634	59.005706	SIG	2.357410421	0.960062688	3.86379275	yes	SIG
