Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.89982821228	1.77914660493769	-4.632365	2.277311
abar1238	-0.3290306784205	1.83310894700815	-4.1927485	3.137858
abee1242	0.020413887555	2.0208111721907	-4.0786455	4.38671749999999
abkh1244	-0.028958082884	1.87535112435735	-3.91457675	3.69384199999999
abua1245	-0.69506841753	1.87875391098679	-4.4872315	2.89593525
abun1252	-0.310971197942	1.91142960504927	-4.155296	3.42427325
acha1249	-0.010239406919	1.99642110501415	-3.8968745	4.12234074999999
acha1250	-0.06809522720285	1.89242732112678	-3.784536	3.68269875
ache1245	-0.8911167502845	1.83798885389782	-4.69885525	2.47094575
ache1246	-0.0297815158685	1.8903692254827	-4.0361445	3.6733945
achi1256	0.27516911019	1.92944846510535	-3.6025315	4.317652
achi1257	-0.26231893293	1.75333737710983	-3.82312075	3.16765575
achu1247	-0.1885867744156	1.90018896534372	-4.04973125	3.51864475
achu1248	-0.2254604573405	1.92470425818066	-4.03186875	3.59226325
acol1236	0.7305930216795	1.73589129866692	-2.640445	4.164323
adan1251	-0.507674295905	1.89609605782649	-4.44449125	3.04111824999999
adon1237	-0.5506369788065	1.79988105218515	-4.37019725	2.81247875
adze1240	-1.23570246371	1.72433161915084	-4.884728	1.9127175
aeky1238	-0.3185351371205	1.90246406722226	-4.204577	3.2966415
afad1236	-0.6841352856305	1.73224420631587	-4.22871575	2.58893775
afar1241	-0.1840552176	1.98311516223192	-4.344454	3.69678025
aghe1239	-0.3279946328705	1.85941797536724	-4.1304835	3.18488575
aghu1255	-0.29228057393105	1.977874673977	-4.3311495	3.44152125
agob1244	-0.22987502202	1.88697496611054	-3.9557625	3.54655225
agua1253	-0.127572824053	1.89051243328744	-3.98007975	3.69142
agus1235	-0.265178765995	1.58209750092103	-3.43658575	2.66391175
agut1237	-0.277658498507755	1.68059466891073	-3.95063375	2.8269825
aheu1239	-0.0014147300425	1.99857382628734	-3.95260725	4.038781
aika1237	-0.27499235891	1.84766656256434	-3.9897345	3.3315755
aime1238	-0.3842313779375	1.86833618032499	-4.3083625	3.3064575
ainu1240	0.029537540955	1.96941351497441	-3.794241	3.982139
ajab1235	0.0009734172255	1.93307061343118	-3.78744975	3.9295195
ajas1235	-0.313019788255	1.91651522258644	-4.22759625	3.52982725
