Estimate	Est.Error	Q2.5	Q97.5
abar1238	-1.4558914989235	2.72524008432838	-7.188319	3.40299575
abee1242	-0.5442702588435	2.75182356661586	-6.26626675	4.21219775
abkh1244	0.73138160306	2.48967653206782	-4.51943925	5.482514
abun1252	-0.431921971225	2.85108199165883	-6.19804175	4.91833074999999
acha1249	1.133687127832	2.0671458053949	-3.048756	4.9850385
acha1250	-0.18130021675	2.91147112741495	-6.08208225	5.59389275
achi1256	-1.0135279804235	2.81074336615196	-6.67360875	4.12833175
achi1257	-0.54350146682	2.80607962807159	-6.51766975	4.60485149999999
achu1248	-0.46236764445	2.86572292437978	-6.11830125	5.13576475
acol1236	-0.7923461626905	2.91988404927146	-6.94692775	4.6869185
adan1251	-0.684354602465	2.89163288027155	-6.73925075	4.53149675
adon1237	-0.6563659464805	2.74461399742078	-6.6887225	4.35687625
adze1240	-0.220666978802525	2.56388105113818	-5.45300375	4.537384
afar1241	0.257246768745	2.88884151862951	-5.79844275	5.889227
aghe1239	-1.453619913127	2.69686749003603	-7.311119	3.386715
aghu1255	-0.577433011475	2.94666401049216	-6.63106525	4.86642199999999
agob1244	-0.516855516205	2.88207562842298	-6.74563025	5.1324235
agua1253	-0.403341108935	2.98095705329302	-6.7922825	5.21823375
agut1237	-0.614361249015	2.70323088551332	-6.3356855	4.219077
aheu1239	-1.1253846979385	2.79809369126558	-7.39087975	3.84467125
aime1238	-0.47714997989	2.86411874162742	-6.39955325	4.9687165
ainu1240	-0.543468578664	2.74191019620419	-6.30023125	4.218576
ajab1235	-0.617559229495	2.85374379812375	-7.0077055	4.47801025
ajie1238	-1.273031462782	2.61105993419772	-6.85782225	3.34208075
ajyi1238	-0.7632404519685	2.85153664669477	-6.922647	4.40571749999999
akha1245	1.1297196459401	1.94048161393336	-2.726401	5.06856049999999
akoo1248	-1.393100839315	2.94156327236624	-7.60173025	3.883014
alab1237	-0.45470913419	2.70923190463006	-6.360151	4.47649674999999
alab1254	-0.7037132935915	2.63594119612349	-6.553053	4.06003675
alag1248	0.061277910375	2.69806279104539	-5.512788	5.1051055
aleu1260	-0.439218579544	2.82651967795377	-6.43479475	4.9392555
alor1247	-0.6877994081785	2.88434121906581	-6.99532675	4.47597625
aluk1238	-1.3584066278905	2.57254805588475	-6.9732195	3.10721225
alya1239	-0.335197592695	2.88259981609102	-6.5471235	5.1711115
amah1246	-0.56344947062	3.14582849416678	-6.9215235	5.25133525
amap1240	-1.07822606443	2.72840520949314	-6.7921005	3.9109895
amdo1237	-0.96405145275	2.71693262480391	-6.51133275	3.85198475
amii1238	-0.413957668005	2.9769236149486	-6.67411625	5.146102
amis1246	5.20863890055	2.16609660611123	1.67865325	10.160045
anei1239	-1.06677345395	2.78687097735301	-7.05168775	4.041073
anfi1235	0.64350489364	2.39827764949963	-4.020236	5.3471195
anga1288	-1.48649104107	2.3414974650884	-6.76699975	2.73509525
anta1255	-0.26965680898	2.85155222483844	-6.27945975	4.920174
anut1237	-0.592528843079	2.87558507792502	-6.766516	4.70061475
anuu1241	-1.4895169155645	2.64502527216287	-7.1787815	3.1625325
aona1235	-1.88665206112	2.47116136912831	-7.34947825	2.49281999999999
aoua1234	0.4602942334712	2.69767562923511	-5.247043	5.37470999999999
apin1244	-0.171318782135	2.84698248272017	-5.9138165	5.21151524999999
apma1240	-1.89865789505	2.64263045444797	-7.8020505	2.7402405
apur1254	-0.075811446735	2.95347259352001	-6.26505825	5.65369075
arak1252	-1.77959731936	2.50946355215076	-7.33173525	2.64832625
arao1248	1.492804005825	2.70985874071775	-4.10342925	6.85896824999999
arap1274	4.616416386645	2.58396366029318	-0.01453259	10.1573375
araw1276	-0.399716568815	2.97676384929778	-6.7231535	5.321298
arbo1245	-1.01801001781	2.79563790758014	-7.02439675	4.164714
arch1244	0.3146960537177	2.04805397078001	-3.79462975	4.470305
area1240	-1.580947845792	2.68786541723823	-7.31288775	3.1893315
aree1239	-0.878115338315	2.80873239333275	-7.11938925	4.11631325
argo1244	4.56250755385	2.53899550617418	0.231510175	10.03194
arhu1242	-0.382055898215	2.86434115091232	-6.30234375	4.874737
arig1246	-0.329303637355	2.89847826242151	-6.3599845	5.0453815
arop1242	-1.1150043610285	2.60395984661124	-6.497529	3.50087975
arop1243	-1.16891455472	2.72506663517061	-6.94520125	3.849049
aros1241	-1.11922616801	2.90070168692554	-7.35970375	3.90519199999999
arta1239	3.8148532873845	1.80434290718283	0.498547775	7.55601149999999
ashe1272	-0.74608923642	2.7795635799024	-6.580093	4.602926
asoa1238	-0.72155293752	2.98216729987228	-6.78407575	4.80853899999999
assi1247	-0.4797974001305	2.92415773913222	-6.46661675	5.069965
asut1235	4.74252276765	2.55218925337842	0.148864175	10.292445
athp1241	-0.34448220519	2.14984539841604	-4.6734515	3.805708
atii1237	-0.75748419149	2.77051586043565	-6.735203	4.281869
aton1241	-0.17520902455	2.47011859580621	-5.1265895	4.51396725
auuu1241	-1.215192497913	2.55442020948393	-6.76629375	3.26976525
auye1238	1.1946023575605	2.57363657217758	-3.74873025	6.09958775
avok1242	-0.822774470635	2.86139343590842	-6.89314075	4.474801
awac1239	-0.398242347293	2.955615943841	-6.33829225	5.307295
awad1243	-1.34330112798	2.72712980321635	-7.15776125	3.587594
awar1248	-0.348389205027	2.47011843982319	-5.5288585	3.97527574999999
awar1249	-0.7202551700985	2.53089628428894	-5.95059525	4.03866725
awji1241	-0.23400824614	2.94740529948495	-6.208938	5.224212
awtu1239	-1.175883979345	2.56165200342595	-6.68351675	3.48334375
axam1237	-2.0364838470355	2.49361043469091	-7.57857675	2.299435
axiy1235	-0.6466908714775	2.56490979311174	-6.02448675	4.0214125
ayac1239	-0.2435597433085	2.98436400145169	-6.14091625	5.44774899999999
ayiw1239	-0.927718921175	2.85869694111969	-7.173927	4.0456415
baba1264	-1.415095862045	2.70437441286363	-7.2084545	3.21596849999999
baba1266	-1.4373636584575	2.72954375800669	-7.179825	3.41954125
bafa1247	-1.318154827777	2.89561829160233	-7.603084	3.729414
bafi1243	-1.160100307893	2.87014053118051	-7.173054	3.96360225
bafu1246	-1.438913358395	2.71312853248657	-7.30405125	3.50347625
baga1272	4.22559760518	2.35451520541643	-0.00412541399999997	9.225752
bagi1246	-1.1075455770315	2.85468094763219	-7.0534865	4.15564275
bagv1239	1.32234671377	1.73595607272599	-1.94361075	4.728945
baim1244	-0.972395776835	2.85943572953392	-7.31825475	3.98917125
baka1272	-0.42497857070795	2.86039549653292	-6.31532825	5.03717325
bala1311	-0.7105884114649	2.79038355293548	-6.79061125	4.6039065
bala1315	-0.458773623178	2.92230740041907	-6.3278895	4.69301125
bala1316	-1.126431947565	2.82340649044327	-7.10178675	3.94470774999999
bali1278	-0.48197016671	2.89772467159559	-6.6272775	4.7345265
balu1257	-1.04230716714	2.57052835350783	-6.66577925	3.49943024999999
bamb1270	0.7046405664	2.60641627361715	-4.69918125	5.58966525
bamu1253	-1.284334524015	2.75218567590932	-6.827396	3.9353985
band1344	-0.4430284323145	2.89673099477629	-6.38374	5.2286655
bang1354	5.48474986161	2.68769512424197	0.67888985	11.104225
bang1369	-1.385513906615	2.80459374827689	-7.58829875	4.06929724999999
bant1281	-1.216333357603	2.1802462603763	-5.8672655	2.69269525
bara1357	-2.07173662472	2.57947083023801	-7.7079795	2.47955925
bara1380	-0.68991054732	2.88268275414709	-6.73395425	4.69890825
bari1286	-1.297328228272	2.77191633637339	-7.24147875	3.8556035
baro1253	-1.370648330268	2.654702412001	-7.039161	3.24954299999999
bash1264	-0.37567958074	2.92974862817157	-7.0111035	4.99314875
basq1248	-0.666644963215	2.84764308339386	-6.773162	4.58710875
bata1285	-0.6127060774125	3.0191417794776	-6.76003725	5.2779705
bats1242	2.0571562787615	1.97711866307626	-1.825686	5.911969
baur1253	0.1037647449	2.90867493762324	-6.17487175	5.56648275
bawm1236	-1.39630394964157	2.49940579275275	-6.80970525	3.0539945
bebe1248	-0.8851435550675	3.13490106661676	-7.68732625	4.80890625
beem1239	-0.32575905312	2.98000865905998	-6.4080655	5.38245675
beka1241	-0.614363545015	2.82736868124851	-6.669955	4.29456
bela1254	-0.496247426244	2.78952940721822	-6.49215525	4.5340315
beli1257	-0.5622382350375	2.89715209242136	-6.455744	4.64214275
bell1243	-0.60607257145	2.99112745657192	-7.1228975	4.97592125
bemb1257	-0.279003043445	2.99279122188529	-6.361223	5.55747249999999
beng1282	-0.58236955136	2.9217638574954	-6.74384375	4.89889149999999
bent1238	-1.279514138905	2.84279927793386	-7.5921595	3.942884
bert1248	1.659283601025	2.36236330629878	-3.070959	6.314583
bezh1248	2.24634549821	1.84744715636419	-1.2252335	6.051129
bhoj1244	-1.30660717992	2.80749382088542	-6.92466	3.787576
biao1253	6.24207298355	2.55625201978722	1.882977	12.0045525
biao1254	6.0528294597	2.67152740904237	1.71972325	12.0181575
biao1256	5.9989078395	2.69654726059176	1.64734	12.1951425
bier1244	-1.93550712415	2.49461335057395	-7.43718025	2.49793525
bign1238	-1.967000060575	2.43890829165687	-7.30272425	2.42199725
