                              Estimate Est.Error    l-95% CI  u-95% CI	Rhat
fixed_intercept          -0.4835228086 0.3315060 -1.14441975 0.1668588	0.9998308
fixed_V3                 -0.2664525112 0.5027838 -1.29528918 0.6964089	1.0013154
random_sd_Int_V1          1.2709209314 0.2059058  0.89838189 1.7123686	1.0032944
random_sd_Int_family      1.1430767559 0.2696016  0.67276847 1.7218221	1.0007136
random_sd_Int_V3_family   0.5957881038 0.5309055  0.01645683 1.9397349	1.0014434
random_cor_Int_V3_family  0.1207269036 0.5521492 -0.90669217 0.9568286	0.9998565
random_sd_Int_macro       0.4291632692 0.3127063  0.02400439 1.1769485	1.0014165
random_sd_Int_V3_macro    0.4339938381 0.4331653  0.01325545 1.5556351	1.0014278
random_cor_Int_V3_macro  -0.0002005151 0.5786359 -0.95107414 0.9505227	1.0010814
                               Bulk_ESS Tail_ESS
fixed_intercept           3217.429 3947.359
fixed_V3                  6668.486 4193.967
random_sd_Int_V1          1257.040 2541.589
random_sd_Int_family      2090.099 3296.409
random_sd_Int_V3_family   3030.065 3275.968
random_cor_Int_V3_family  8260.098 4409.001
random_sd_Int_macro       1962.774 2923.639
random_sd_Int_V3_macro    5384.054 3542.662
random_cor_Int_V3_macro   8804.741 4241.569
