Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.710605030085	1.17632279150764	-3.1749875	1.414596
abee1242	1.09030212125865	1.47554906942311	-1.590268	4.17082474999999
abkh1244	0.38842344761	1.69391667469622	-2.705144	3.98381125
abua1245	0.728010401394	1.53157954820301	-2.24327825	3.8135025
abun1252	-1.433707198305	1.6569887736047	-4.92454625	1.48031225
acha1249	0.368082476755	1.40098615305544	-2.3233575	3.2669045
achi1257	-0.63952210928	1.45163863604144	-3.64597275	2.04368375
achu1248	-0.24567336925	1.63338526070577	-3.3641815	3.00025775
acol1236	-1.264619717814	1.53224976966884	-4.62143575	1.5965815
adan1251	-0.118415024245	1.55152786319608	-3.2135515	2.97390575
adon1237	-0.7328191951985	1.26337841031468	-3.3013215	1.5231345
afar1241	0.705600589765	1.59483388527731	-2.17639325	4.12225775
agob1244	0.993218531585	1.64500787609038	-1.98499175	4.4778535
agua1253	0.4143406614015	1.70052272022986	-2.759231	3.96203675
aheu1239	0.51863085934	1.51943738968588	-2.26259925	3.7660345
ainu1240	-1.245893030283	1.68976174496234	-4.9064365	1.7741865
akei1237	-1.105113310722	1.09116428643228	-3.50697275	0.904107549999998
akha1245	-2.497666961935	1.38738810666445	-5.5453595	-0.0799849525000012
akoo1248	-1.030180631685	1.49293105248211	-4.364716	1.66609525
alab1237	0.377116587935	1.65181423084919	-2.83556225	3.7340515
alab1254	1.85280176933	1.66286642715871	-1.1031175	5.5807415
alac1244	-2.1550781948995	1.56800885394398	-5.4177775	0.622226324999999
alag1248	0.724089873224	1.54293966767749	-2.01944325	4.021396
aleu1260	0.343592917575	1.76644047080333	-2.93853425	4.04956724999999
amam1246	0.4850777827959	1.40014393066185	-2.22789525	3.52381925
amdo1237	0.7175683097625	1.6565761685615	-2.33578225	4.1796835
amha1245	0.901967356965	1.67139679170008	-2.209283	4.501971
anei1239	0.2099782433256	1.39419797602684	-2.438308	3.08953375
anfi1235	-0.08142682202	1.5005065477653	-2.980908	2.96206925
anga1288	1.402703064708	1.51969412661563	-1.3663445	4.67206549999999
anuf1239	-1.1688632835595	1.60278682402315	-4.5762635	1.70306225
anuu1241	-0.487452485343	1.35708900092669	-3.155283	2.2087555
aona1235	1.206488752055	1.4971911524987	-1.613895	4.30826
aoua1234	-1.4823108967	1.59638049638336	-4.89773325	1.476747
apat1240	0.26657594452	1.33789477117629	-2.43919125	2.91028575
apin1244	-1.390515920465	1.72461720155926	-5.20732075	1.643505
apma1240	-1.85820535239	1.28519183647884	-4.52894925	0.3183091
arak1252	-1.041649369181	1.00782785567846	-3.19070875	0.843742474999998
arao1248	0.438307189055	1.84349749650698	-2.92420075	4.53906249999999
arap1274	0.2657966515675	1.72770972120221	-3.010275	3.98333799999999
arch1244	0.974097714565	1.6993054263629	-2.2334025	4.4857455
area1240	0.5613660615785	1.22126067526789	-1.7406785	3.1207515
argo1244	0.885026389967	1.71984264014468	-2.278207	4.47310425
arhu1242	0.477826541025	1.55549006989341	-2.47431575	3.64657925
arom1237	1.026580553462	1.55712828457508	-1.71861575	4.47578525
arop1242	-0.077137262975	1.39900878730012	-2.9080585	2.6399035
arta1239	-0.9535823004	1.16799465034713	-3.46402425	1.21171575
ashe1272	0.4025223017285	1.68839796619125	-2.74167425	3.93230225
asoa1238	0.9161429448865	1.45683553363104	-1.78118525	3.916458
assi1247	-1.5177712831468	1.67530273686715	-5.14519225	1.44190475
athp1241	2.34601379255	1.51888929296133	-0.104290425	5.77066675
aton1241	1.365025979006	1.65697023013319	-1.56407575	4.93845249999999
awac1239	-1.344568823855	1.54330200459373	-4.54814275	1.510527
awad1243	0.83214851281	1.66269946166792	-2.23049725	4.279872
awtu1239	0.391702154756	1.43772635961314	-2.39239375	3.35157675
axam1237	-1.96083269377	1.17607860035704	-4.45164275	0.157952525
axiy1235	-2.39811319138	1.55897799872082	-5.9038945	0.279212874999995
ayiw1239	0.006678924225	1.21009682737519	-2.3014855	2.4390645
azha1235	-2.704925618445	1.52187073561095	-6.03008425	-0.0339833200000009
baba1268	-0.7322521888835	1.58465980871972	-4.2458795	2.12543
babi1235	-1.08941735809	1.62649354931888	-4.59712825	1.7952925
bafu1246	-0.923323740225	1.29791780804678	-3.78299275	1.383853
bagi1246	-1.5279595824015	1.33289289463148	-4.3269595	0.81396385
baim1244	0.94225573198	1.68077213989422	-2.04801425	4.5219145
baka1274	-1.19845043547	1.6181426122593	-4.60278525	1.79508025
baki1244	-1.658284239795	1.18364463910922	-4.171571	0.441918875
bala1315	1.0370104453022	1.63201535610723	-1.786777	4.5341205
bala1316	-0.1606210790465	1.2277030016848	-2.522581	2.2818515
balu1257	-0.573016789035	1.24868886371897	-3.1379535	1.72752675
bamb1262	1.26390180818	1.62925692875778	-1.6545905	4.8074095
bang1354	-1.02743965697225	1.57908858561093	-4.462806	1.8043655
bang1363	-0.392669815651	1.50050347365044	-3.384614	2.62633325
bang1369	0.883967874315	1.50844068947217	-1.93963275	4.07267825
bant1281	2.419629100135	1.48518962495984	0.0061625975	5.80028125
bara1357	1.825191923795	1.60168297914573	-0.972463275	5.2621585
bara1361	1.271857188865	1.45037173385336	-1.4225335	4.4348205
bara1370	0.273200303865	1.43087002346285	-2.46903075	3.1593175
bare1279	-0.586437115975	1.47724186347562	-3.53613125	2.24200325
barg1252	1.373952418674	1.32852905447642	-0.903157925	4.40523725
basq1248	0.038441299215	1.78011988128008	-3.28814075	3.60558775
bata1289	-1.512703634035	1.53844084486155	-4.71821	1.31280375
baur1253	0.356174536416	1.80342835385321	-3.0591005	4.24380625
bawm1236	0.722430496995	1.42257913186995	-1.8967695	3.841538
bayb1234	1.131762353607	1.5063648823958	-1.543458	4.40102575
beem1239	-0.5882190446765	1.57305601818703	-3.9177455	2.26166325
beka1241	1.021188735515	1.49885789231117	-1.669705	4.18080125
bela1254	0.3051246139615	1.76283496415782	-3.042476	4.073015
belh1239	2.39660202376	1.50981574623284	-0.06095438	5.76583175
bell1243	0.50706799407	1.66658216665644	-2.65499975	4.00599749999999
bemb1257	0.9509948393	1.59206931483106	-1.92047175	4.48328625
beng1282	-1.13931077106	1.56127744489781	-4.4561285	1.5746965
bent1238	-0.31115370687	1.35422013393399	-3.11745025	2.292178
bhoj1244	1.35202522237	1.69010052895874	-1.752618	5.06691925
biaf1240	0.9427921992455	1.53683512243383	-1.83902975	4.08745049999999
biao1253	-1.1778819788685	1.61697943955869	-4.561927	1.744786
biao1254	0.618545063955	1.60553001359549	-2.45211025	3.8122995
biao1256	0.003376057965	1.50422596549849	-2.91338225	3.0073105
biat1246	0.913152467205	1.30005865936756	-1.4709915	3.6773965
bidy1244	-0.401729784035	1.50691079421558	-3.44471375	2.416258
bili1260	0.4288321169035	1.71870004868991	-2.71495125	4.1401925
bini1246	-0.19094392817	1.45748307205977	-2.93232325	2.82946675
bira1253	2.182353680975	1.6554986380395	-0.704754725	5.67569325
bisu1244	-3.13012144578	1.56966850236346	-6.675637	-0.512410225
bitt1240	-2.24913873689	1.34885394640771	-5.0459055	0.116705874999999
biwa1243	1.34209307342595	1.64772151045726	-1.58477725	4.84479975
blan1242	-2.56232637788	1.57326382527612	-6.004934	-4.70805000012572e-05
bodo1269	1.264386907803	1.61672630271484	-1.78541725	4.92645575
boht1238	1.00542024284	1.6708072606615	-2.07815725	4.66148049999999
boka1249	1.200832752802	1.5938399675803	-1.632167	4.55209725
bola1250	-2.00695793045655	1.52357501239925	-5.3622355	0.634653824999998
bolg1251	-1.1346388912645	1.52495643736653	-4.392567	1.75347425
bolo1262	0.285836915653	1.52191481941915	-2.62050275	3.38814125
boly1239	-2.279092792545	1.57534492045724	-5.6327755	0.47388815
bomk1234	0.8842996359575	1.6279925009867	-2.090294	4.3775195
bona1250	0.85016204226	1.59421579800216	-2.08132675	4.252192
bord1248	0.6257236459105	1.63280037521324	-2.41795425	4.20046975
boro1277	1.7196220487	1.62764176990357	-1.154223	5.20736675
boro1282	0.275873461041	1.63232564042711	-2.87580925	3.739062
boun1243	0.95912304165	1.55280542298395	-1.896361	4.41856949999999
brah1256	0.10745835395325	1.78695548014914	-3.49762725	3.82049475
bret1244	0.33374424921	1.76635994794338	-2.98857025	3.994914
brib1243	0.491715292322	1.58130996868366	-2.44591275	3.8723185
buga1247	-1.930727320975	1.36159027943308	-4.77205	0.530903074999999
buga1250	-1.127206742797	1.34849188979675	-3.8415495	1.3133385
bugh1239	1.0240575024955	1.28034948602175	-1.3014255	3.588007
bugi1244	1.1131747394685	1.62378617130911	-1.77328925	4.6150855
bugl1243	-1.70756214734	1.645302353172	-5.07623425	1.3693115
buhu1237	-0.553360570155	1.26621846135663	-3.146562	1.9490075
buka1257	0.7507105933825	1.2734159752085	-1.5294475	3.33492225
bull1247	1.28456421168	1.592249280526	-1.535589	4.72518475
bulo1242	0.4134382072765	1.49555849886733	-2.4365815	3.429951
bumt1240	1.016766939155	1.73424687054867	-2.1242715	4.737126
bura1292	-1.4179306595435	1.38762993991594	-4.293079	1.16184225
buru1296	0.423883495521	1.7593787614739	-3.042072	4.021388
bush1247	-1.0493458596375	1.5844805557607	-4.4591345	1.91058375
buwa1243	-1.10811901173	1.27302748711888	-3.7940295	1.245844
byan1241	-0.76958093899	1.40300847423202	-3.48199175	1.9938155
cabe1245	0.5410345995955	1.58859280896647	-2.4902095	4.01442375
cacu1241	0.862100202675	1.57444692113738	-2.100261	4.13572925
cahu1264	0.259281574585	1.776886376789	-3.0792695	3.86754275
camp1261	0.887491750232	1.60264786819338	-2.110299	4.362319
cane1242	0.50914898247	1.56002734297865	-2.450227	3.78089575
caom1238	-1.21426486959	1.50375260330171	-4.471571	1.5939925
capa1241	0.4841736951865	1.73821939177644	-2.79496	4.04798575
carn1240	-1.41585899538	1.573143813684	-4.752412	1.50437125
caro1242	1.28428976107	1.5590796336489	-1.4449145	4.78415775
cash1251	0.50905967120785	1.76874987650927	-2.76696425	4.296714
cemu1238	0.560603441765	1.35548627399214	-1.95869775	3.367021
cent1989	0.539452431919	1.56122261117821	-2.33055325	3.93465475
cent1992	0.14033461298	1.53002928470563	-2.713319	3.25619075
cent2050	-0.7900852237995	1.38629313387214	-3.648518	1.878073
cent2084	0.2892516574695	1.20096357810706	-1.992893	2.78770925
cent2127	0.2268174738995	1.72842296350492	-3.1557015	3.673117
cent2140	0.78240440909	1.74381365016605	-2.61187725	4.49202325
cent2142	0.343527337165	1.76460022855833	-3.04392475	3.88615775
cent2150	0.399190333715	1.82561915052185	-2.91482625	4.28939175
cent2292	-0.1248547818	1.12923098321087	-2.35414875	2.12868275
cent2314	-1.258762676865	1.60066377704617	-4.51263575	1.56316824999999
cent2322	0.0484363221605	1.69380362367029	-3.35618075	3.44787925
chad1249	-1.6020950998	1.605427797105	-5.036355	1.39686975
chak1270	-0.229552779618	1.4395902153856	-3.0370205	2.61619575
cham1309	1.036882990005	1.67008185003188	-1.98902375	4.75475575
cham1312	0.928293055035	1.56790689942661	-1.94122475	4.16904974999999
chan1313	1.3434005025855	1.46119762160518	-1.24440325	4.47463625
chec1245	0.67315984721	1.71243982007648	-2.65055975	4.4075805
chhi1245	2.382770608014	1.49292167707121	-0.0563823925	5.77790325
chil1280	1.3126254456	1.65938213539999	-1.65894825	4.83585725
chim1302	0.0422305876875	1.71377565630637	-3.29691925	3.622949
chip1241	0.285613869035	1.75150779590038	-3.1478125	3.75097075
chip1261	-0.8517742228	1.60813605038346	-4.15254325	2.1542515
chiq1248	-1.78948908788	1.68339524225845	-5.395133	1.17652725
chir1283	1.48128591718	1.5691301133676	-1.338215	4.93828224999999
choc1276	0.6767820827065	1.71662445677123	-2.45471	4.29326525
chot1239	1.3569326532855	1.63525935282315	-1.494228	4.95783475
chug1252	0.896334549026	1.64424102692497	-2.0826365	4.467817
chuk1273	0.21285788196	1.78358750884069	-3.471467	3.78710975
chuv1255	0.0832692622635	1.85257455797781	-3.69489225	3.87559125
chuw1238	0.7568499769275	1.62509986997577	-2.3682275	4.3768765
coca1259	0.49451715516045	1.71200471686982	-2.60253675	4.22216575
cogu1240	0.4765052868105	1.60215358788319	-2.539669	3.70883025
coma1245	0.185985264425	1.78528147053794	-3.32870525	3.88500125
copa1237	-1.887046115545	1.43043064406236	-4.98407475	0.718521525
cori1240	-1.10818282372585	1.54365456347163	-4.507952	1.64407225
cors1241	0.69694300261218	1.6018230234536	-2.2140185	4.09407975
cosa1234	-1.7039012412305	1.23821687010075	-4.29000775	0.565004175
cree1270	0.680442595225	1.6832731628162	-2.453807	4.31985475
crim1257	0.04858719591	1.78586239724984	-3.5481095	3.75178425
crow1244	0.39887226675	1.66750870831716	-2.83687	3.91377574999999
cube1242	0.755864467355	1.66809487001781	-2.522191	4.17165825
czec1258	0.27675152568545	1.71480179006216	-2.99180825	3.86771475
daai1236	-0.31219409765685	1.27679573665517	-2.7857375	2.25509725
daas1238	1.566831894425	1.65922059931929	-1.4722355	5.3093985
dagb1246	-1.437253439708	1.64029554046018	-5.07739825	1.4220465
dagi1241	-0.391080960705	1.48104568446674	-3.4126095	2.42269825
daka1243	-1.99027607857	1.22038216227873	-4.56564925	0.243622324999999
dana1252	-1.1847724668	1.34839233962675	-3.9536005	1.42206375
dani1285	0.3419453331615	1.60627091466599	-2.67419975	3.69112224999999
dara1250	1.6196489762145	1.60170279971639	-1.1986965	5.15461924999999
darg1241	0.858868989515	1.70775666507389	-2.35978175	4.4563085
darm1243	-0.820425132295	1.40070265205925	-3.57698075	2.0036925
dawr1236	2.3268277745472	1.77997867029748	-0.62914965	6.16744775
