Universal,Filename,uncontrolled_spatfphylo_n,spatfam_n
0889bKA,results/0889bKA/BT_data.txt,2085,1752
0917aKA,results/0917aKA/BT_data.txt,1550,1289
0917bKA,results/0917bKA/BT_data.txt,1989,1675
0917cKA,results/0917cKA/BT_data.txt,1407,1201
0964aKA,results/0964aKA/BT_data.txt,1910,1610
0964bKA,results/0964bKA/BT_data.txt,1903,1602
0982KA,results/0982KA/BT_data.txt,1108,935
0983KA,results/0983KA/BT_data.txt,1140,953
1027aKA,results/1027aKA/BT_data.txt,1882,1589
1027bKA,results/1027bKA/BT_data.txt,1882,1589
1027cKA,results/1027cKA/BT_data.txt,1882,1589
1028aKA,results/1028aKA/BT_data.txt,1882,1589
1028bKA,results/1028bKA/BT_data.txt,1882,1589
1028cKA,results/1028cKA/BT_data.txt,1882,1589
1053KA,results/1053KA/BT_data.txt,2225,1894
1111KA,results/1111KA/BT_data.txt,1687,1394
1114KA,results/1114KA/BT_data.txt,1003,828
1142aKA,results/1142aKA/BT_data.txt,1143,946
1142bKA,results/1142bKA/BT_data.txt,1143,946
1152KA,results/1152KA/BT_data.txt,1425,1219
1163KA,results/1163KA/BT_data.txt,1904,1622
1216KA,results/1216KA/BT_data.txt,1837,1551
1267aKA,results/1267aKA/BT_data.txt,1548,1299
1267bKA,results/1267bKA/BT_data.txt,1548,1299
1334aKA,results/1334aKA/BT_data.txt,1366,1163
1334bKA,results/1334bKA/BT_data.txt,1332,1134
1334cKA,results/1334cKA/BT_data.txt,1310,1117
1341KA,results/1341KA/BT_data.txt,1598,1335
1349KA,results/1349KA/BT_data.txt,1637,1386
1372KA,results/1372KA/BT_data.txt,1347,1139
1415KA,results/1415KA/BT_data.txt,1595,1357
1427KA,results/1427KA/BT_data.txt,1386,1159
1430KA,results/1430KA/BT_data.txt,1404,1184
1431mKA,results/1431mKA/BT_data.txt,1743,1493
1431nKA,results/1431nKA/BT_data.txt,1743,1493
1434KA,results/1434KA/BT_data.txt,1546,1309
1436KA,results/1436KA/BT_data.txt,1627,1381
1499KA,results/1499KA/BT_data.txt,1446,1191
1531KA,results/1531KA/BT_data.txt,1469,1235
1534KA,results/1534KA/BT_data.txt,1550,1289
1537KA,results/1537KA/BT_data.txt,1003,828
1544KA,results/1544KA/BT_data.txt,1542,1289
1545KA,results/1545KA/BT_data.txt,1677,1436
1546aKA,results/1546aKA/BT_data.txt,1661,1404
1546bKA,results/1546bKA/BT_data.txt,1661,1404
1548aKA,results/1548aKA/BT_data.txt,2085,1752
1548bKA,results/1548bKA/BT_data.txt,2085,1752
1549KA,results/1549KA/BT_data.txt,1989,1675
1550KA,results/1550KA/BT_data.txt,1516,1288
1559KA,results/1559KA/BT_data.txt,1674,1400
1560KA,results/1560KA/BT_data.txt,1696,1425
1561KA,results/1561KA/BT_data.txt,1775,1496
1586KA,results/1586KA/BT_data.txt,1422,1200
1589KA,results/1589KA/BT_data.txt,1453,1222
1591KA,results/1591KA/BT_data.txt,1258,1049
1592KA,results/1592KA/BT_data.txt,1273,1068
1593KA,results/1593KA/BT_data.txt,1017,834
1610KA,results/1610KA/BT_data.txt,1972,1649
1611KA,results/1611KA/BT_data.txt,2030,1720
1612aKA,results/1612aKA/BT_data.txt,1648,1407
1612bKA,results/1612bKA/BT_data.txt,1613,1360
1612cKA,results/1612cKA/BT_data.txt,1699,1450
1612dKA,results/1612dKA/BT_data.txt,1647,1393
1621KA,results/1621KA/BT_data.txt,1295,1056
1653KA,results/1653KA/BT_data.txt,1760,1494
1667aKA,results/1667aKA/BT_data.txt,1012,833
1667bKA,results/1667bKA/BT_data.txt,1003,828
1741KA,results/1741KA/BT_data.txt,1523,1289
1827KA,results/1827KA/BT_data.txt,1385,1181
1994aKA,results/1994aKA/BT_data.txt,1451,1214
1994bKA,results/1994bKA/BT_data.txt,1550,1301
1994cKA,results/1994cKA/BT_data.txt,1553,1306
1994dKA,results/1994dKA/BT_data.txt,1550,1299
2012KA,results/2012KA/BT_data.txt,1223,1018
