"term"	"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"filename"	"universal_code"	"crosszero"	"brms_support"	"Domain_general"	"Universal.shorter"
"fixed_intercept"	-4.451167	0.2369278	-4.947023	-4.015229	1.002464	1450.188	"results/0093KA/brms.single/summary_clean_uncontrolled.txt"	"0093KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender 2SG ⇒ gender 3SG"
"fixed_V3"	3.017816	0.267564	2.520169	3.575324	1.003235	1469.368	"results/0093KA/brms.single/summary_clean_uncontrolled.txt"	"0093KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender 2SG ⇒ gender 3SG"
"fixed_intercept"	-2.077667	0.1184195	-2.313339	-1.850754	1.001502	1927.118	"results/0095aKA/brms.single/summary_clean_uncontrolled.txt"	"0095aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Dem-N"
"fixed_V3"	2.248217	0.1468339	1.969741	2.543821	1.001374	2236.014	"results/0095aKA/brms.single/summary_clean_uncontrolled.txt"	"0095aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Dem-N"
"fixed_intercept"	-1.2960979	0.08587618	-1.467199	-1.128201	1.001587	2876.474	"results/0095bKA/brms.single/summary_clean_uncontrolled.txt"	"0095bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Num-N"
"fixed_V3"	0.9042121	0.12528305	0.661345	1.149215	1.001258	3073.462	"results/0095bKA/brms.single/summary_clean_uncontrolled.txt"	"0095bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Num-N"
"fixed_intercept"	-2.452908	0.1443328	-2.747965	-2.186215	1.003067	1872.379	"results/0096KA/brms.single/summary_clean_uncontrolled.txt"	"0096KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Pron-N"
"fixed_V3"	2.662498	0.1665878	2.344937	2.994196	1.002312	2110.82	"results/0096KA/brms.single/summary_clean_uncontrolled.txt"	"0096KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Adp & (Adj-N|Rel-N) ⇒ Pron-N"
"fixed_intercept"	-1.092312	0.084752449999999993	-1.2636812	-0.9301845	1.000431	2483.858	"results/0101KA/brms.single/summary_clean_uncontrolled.txt"	"0101KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Gen ⇒ N-Adj"
"fixed_V3"	1.055924	0.10285018	0.8584397	1.2630063	1.00107	2763.312	"results/0101KA/brms.single/summary_clean_uncontrolled.txt"	"0101KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Gen ⇒ N-Adj"
"fixed_intercept"	-1.76933	0.1647343	-2.095515	-1.450098	1.000377	2851.664	"results/0107aKA/brms.single/summary_clean_uncontrolled.txt"	"0107aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VO ⇒ N-Rel"
"fixed_V3"	2.637569	0.1765565	2.296415	2.988099	1.001738	3046.363	"results/0107aKA/brms.single/summary_clean_uncontrolled.txt"	"0107aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VO ⇒ N-Rel"
"fixed_intercept"	1.5420499	0.06870526	1.4079885	1.6772033	1.000612	3077.48	"results/0107bKA/brms.single/summary_clean_uncontrolled.txt"	"0107bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Adj-N"
"fixed_V3"	-0.2057004	0.13603429	-0.4729425	0.06716549	1.001266	3194.964	"results/0107bKA/brms.single/summary_clean_uncontrolled.txt"	"0107bKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"narrow word order"	"OV ⇒ Adj-N"
"fixed_intercept"	-0.5731606	0.06011279	-0.6934275	-0.4571067	1.0004	3809.028	"results/0107cKA/brms.single/summary_clean_uncontrolled.txt"	"0107cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VO ⇒ N-Gen"
