"term"	"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"filename"	"universal_code"	"crosszero"	"brms_support"	"Domain_general"	"Universal.shorter"
"fixed_V3"	3.427175	0.1748318	3.092085	3.767683	1.003244	1303.239	"results/0179aKA/brms.single/summary_clean_uncontrolled.txt"	"0179aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Adj ⇒ number Adj"
"fixed_intercept"	-2.759665	0.1329479	-3.023975	-2.504468	1.00119	2038.22	"results/0179bKA/brms.single/summary_clean_uncontrolled.txt"	"0179bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Dem ⇒ number Dem"
"fixed_V3"	2.806942	0.1506657	2.519837	3.109137	1.001436	2181.386	"results/0179bKA/brms.single/summary_clean_uncontrolled.txt"	"0179bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Dem ⇒ number Dem"
"fixed_intercept"	-3.782809	0.1811191	-4.147962	-3.443815	1.004937	1474.071	"results/0179cKA/brms.single/summary_clean_uncontrolled.txt"	"0179cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Art ⇒ number Art"
"fixed_V3"	3.723181	0.2152077	3.306907	4.161833	1.003218	1656.364	"results/0179cKA/brms.single/summary_clean_uncontrolled.txt"	"0179cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender Art ⇒ number Art"
"fixed_intercept"	-2.931859	0.159879	-3.258612	-2.632614	1.002326	1420.01	"results/0183KA/brms.single/summary_clean_uncontrolled.txt"	"0183KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"case Nouns ⇒ case PronN"
"fixed_V3"	3.165717	0.1714956	2.834746	3.509035	1.001853	1664.213	"results/0183KA/brms.single/summary_clean_uncontrolled.txt"	"0183KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"case Nouns ⇒ case PronN"
"fixed_intercept"	-2.842586	0.5064237	-3.936157	-1.954116	1.003031	2633.008	"results/0228KA/brms.single/summary_clean_uncontrolled.txt"	"0228KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"nom case ⇒ verbal infl"
"fixed_V3"	2.846266	0.508349	1.952	3.94314	1.002782	2712.579	"results/0228KA/brms.single/summary_clean_uncontrolled.txt"	"0228KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"nom case ⇒ verbal infl"
"fixed_intercept"	-0.3034669	0.0631873	-0.4312638	-0.1814769	1.000604	3329.804	"results/0229KA/brms.single/summary_clean_uncontrolled.txt"	"0229KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nom number ⇒ nom case"
"fixed_V3"	1.12547	0.09425306	0.9399371	1.3113593	1.000738	3259.811	"results/0229KA/brms.single/summary_clean_uncontrolled.txt"	"0229KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nom number ⇒ nom case"
"fixed_intercept"	0.1393683	0.07036089	0.00338391	0.2744299	1.000464	3888.644	"results/0230aKA/brms.single/summary_clean_uncontrolled.txt"	"0230aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ no case"
"fixed_V3"	0.6186682	0.10069443	0.4205467	0.8169091	1.00171	3586.015	"results/0230aKA/brms.single/summary_clean_uncontrolled.txt"	"0230aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ no case"
"fixed_intercept"	-0.983942	0.07727523	-1.135866	-0.8378352	1.001329	3214.244	"results/0230bKA/brms.single/summary_clean_uncontrolled.txt"	"0230bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"no case ⇒ Adp-N"
"fixed_V3"	1.906698	0.10402573	1.703798	2.108306	1.000997	2793.53	"results/0230bKA/brms.single/summary_clean_uncontrolled.txt"	"0230bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"no case ⇒ Adp-N"
"fixed_intercept"	0.187206	0.07106646	0.05217024	0.3242442	1.000783	3896.404	"results/0230cKA/brms.single/summary_clean_uncontrolled.txt"	"0230cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ Adp-N"
"fixed_V3"	0.5227134	0.09778516	0.33088236	0.7125737	1.000599	3616.015	"results/0230cKA/brms.single/summary_clean_uncontrolled.txt"	"0230cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ Adp-N"
"fixed_intercept"	-0.7562119	0.07137479	-0.8939913	-0.6147862	1.000624	3110.446	"results/0230dKA/brms.single/summary_clean_uncontrolled.txt"	"0230dKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ case"
"fixed_V3"	0.6172623	0.10215763	0.4171596	0.8141296	1.002027	3142.293	"results/0230dKA/brms.single/summary_clean_uncontrolled.txt"	"0230dKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ case"
"fixed_intercept"	-2.100752	0.1007581	-2.304428	-1.907546	1.001788	2126.698	"results/0230eKA/brms.single/summary_clean_uncontrolled.txt"	"0230eKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"case ⇒ no Adp-N"
"fixed_V3"	2.257792	0.1205611	2.024937	2.495311	1.001487	2442.838	"results/0230eKA/brms.single/summary_clean_uncontrolled.txt"	"0230eKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"case ⇒ no Adp-N"
"fixed_intercept"	-0.7095171	0.06880165	-0.844586	-0.5781035	1.000475	3289.149	"results/0230fKA/brms.single/summary_clean_uncontrolled.txt"	"0230fKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ no Adp-N"
"fixed_V3"	0.5209606	0.09986475	0.3266369	0.7172506	1.0007490000000001	3280.517	"results/0230fKA/brms.single/summary_clean_uncontrolled.txt"	"0230fKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ no Adp-N"
"fixed_intercept"	1.1345307	0.07868575	0.981025045	1.2929112	1.000364	3571.319	"results/0231aKA/brms.single/summary_clean_uncontrolled.txt"	"0231aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid|no case ⇒ grad adj word"
"fixed_V3"	0.2153179	0.11647748	-0.005199659	0.4503264	1.000117	3456.363	"results/0231aKA/brms.single/summary_clean_uncontrolled.txt"	"0231aKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"rigid|no case ⇒ grad adj word"
"fixed_intercept"	0.5304542	0.07557558	0.3824368	0.6788925	1.000065	3393.812	"results/0231bKA/brms.single/summary_clean_uncontrolled.txt"	"0231bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free|case ⇒ gradation adj infl"
"fixed_V3"	0.9635289	0.19925746	0.5774343	1.3684978	1.001394	3223.414	"results/0231bKA/brms.single/summary_clean_uncontrolled.txt"	"0231bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free|case ⇒ gradation adj infl"
"fixed_intercept"	-0.8183451	0.06886435	-0.959148	-0.6876432	1.001163	3288.714	"results/0232KA/brms.single/summary_clean_uncontrolled.txt"	"0232KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid & no case ⇒ def Art"
"fixed_V3"	0.5657684	0.10693543	0.3555114	0.7806864	1.001415	3195.756	"results/0232KA/brms.single/summary_clean_uncontrolled.txt"	"0232KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid & no case ⇒ def Art"
"fixed_intercept"	-1.634527	0.09875977	-1.828207	-1.440202	1.001997	2438.485	"results/0237aKA/brms.single/summary_clean_uncontrolled.txt"	"0237aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"number adj ⇒ number noun"
"fixed_V3"	1.822228	0.11734488	1.593873	2.058594	1.001267	2757.947	"results/0237aKA/brms.single/summary_clean_uncontrolled.txt"	"0237aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"number adj ⇒ number noun"
"fixed_intercept"	-0.1515478	0.1016438	-0.3502239	0.0483232	1.001164	3501.217	"results/0238aKA/brms.single/summary_clean_uncontrolled.txt"	"0238aKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"rigid order ⇒ SV"
"fixed_V3"	0.8593604	0.1162623	0.6301226	1.0862925	1.001413	3206.449	"results/0238aKA/brms.single/summary_clean_uncontrolled.txt"	"0238aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ SV"
"fixed_intercept"	0.172689	0.07825176	0.02424547	0.3285209	1.000895	3226.918	"results/0238bKA/brms.single/summary_clean_uncontrolled.txt"	"0238bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ N-Adj"
"fixed_V3"	0.6073477	0.10507835	0.40913564	0.8145598	1.000395	3101.883	"results/0238bKA/brms.single/summary_clean_uncontrolled.txt"	"0238bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ N-Adj"
"fixed_intercept"	0.1687871	0.128433	-0.08962624	0.4103327	1.00093	3670.798	"results/0238dKA/brms.single/summary_clean_uncontrolled.txt"	"0238dKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"rigid order ⇒ N-Rel"
"fixed_V3"	0.4188531	0.1426632	0.14645223	0.6974509	1.000922	3635.402	"results/0238dKA/brms.single/summary_clean_uncontrolled.txt"	"0238dKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid order ⇒ N-Rel"
