Language_ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID	Closest_ISO369P3code	First_Year_Of_Documentation	Last_Year_Of_Documentation	aes	category	classification	level	med	medovertime	subclassification
baru1266	Barup	Africa	6.69736	11.3161	baru1266	NA	NA	atla1278	nige1255	mzk	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/nort3168/mamb1309/niza1234/konj1251/mamb1310/mamb1311/mamb1312/nige1255	dialect	NA	NA	baru1266:1;
bogu1242	Bogur (Mambila)	Africa	6.69736	11.3161	bogu1242	NA	NA	atla1278	nige1255	mzk	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/nort3168/mamb1309/niza1234/konj1251/mamb1310/mamb1311/mamb1312/nige1255	dialect	NA	NA	bogu1242:1;
warw1235	Warwar	Africa	6.69736	11.3161	warw1235	NA	NA	atla1278	nige1255	mzk	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/nort3168/mamb1309/niza1234/konj1251/mamb1310/mamb1311/mamb1312/nige1255	dialect	NA	NA	warw1235:1;
mase1251	Masev-Hyarev	Africa	6.88039	9.26287	mase1251	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/icon1234	dialect	NA	NA	mase1251:1;
ugon1240	Ugondo	Africa	6.88039	9.26287	ugon1240	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/icon1234	dialect	NA	NA	ugon1240:1;
nong1248	Nongov	Africa	6.88039	9.26287	nong1248	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/icon1234	dialect	NA	NA	nong1248:1;
tula1255	Tulan	Africa	6.88039	9.26287	tula1255	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/icon1234	dialect	NA	NA	tula1255:1;
tong1331	Tongov	Africa	6.88039	9.26287	tong1331	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/ipus1234	dialect	NA	NA	tong1331:1;
kyur1234	Kyurav	Africa	6.88039	9.26287	kyur1234	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/ipus1234	dialect	NA	NA	kyur1234:1;
shit1243	Shitile	Africa	6.88039	9.26287	shit1243	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/ipus1234	dialect	NA	NA	shit1243:1;
