Options:
Model:                           Discrete: Independent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_indep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2860010446
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_indep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        beta1 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        alpha2 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        beta2 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Shape	alpha1 - Scale	beta1 - Shape	beta1 - Scale	alpha2 - Shape	alpha2 - Scale	beta2 - Shape	beta2 - Scale	
60000	-2308.316834	1	0.264400	0.178526	0.242664	0.160693	0.250000	0.250000	0.250000	0.250000	1.406049	5.332185	0.083491	2.781803	0.133021	4.458996	3.098560	0.512630	
90000	-2312.771519	1	0.270176	0.231327	0.212466	0.178704	0.250000	0.250000	0.250000	0.250000	3.122179	0.525582	0.880651	5.924665	0.616712	0.576840	0.603805	8.333894	
120000	-2307.917259	1	0.282486	0.181332	0.246760	0.177044	0.250000	0.250000	0.250000	0.250000	0.512901	1.666112	0.799791	9.948435	2.400676	0.354621	0.353718	7.096231	
150000	-2307.784529	1	0.264144	0.197770	0.228461	0.167475	0.250000	0.250000	0.250000	0.250000	1.960134	1.105172	1.498619	0.227602	9.419339	0.018074	0.915185	4.467738	
180000	-2312.096186	1	0.227233	0.183642	0.279351	0.190782	0.250000	0.250000	0.250000	0.250000	0.518367	6.135083	0.980644	4.619321	1.541846	2.022078	1.027884	0.281831	
210000	-2309.680211	1	0.247565	0.187521	0.275712	0.203153	0.250000	0.250000	0.250000	0.250000	0.420477	0.969067	1.067032	2.342573	2.950178	0.089320	0.789962	0.095675	
240000	-2309.401199	1	0.230170	0.176895	0.243802	0.194837	0.250000	0.250000	0.250000	0.250000	1.216654	0.213816	2.884729	0.085035	1.653146	0.455760	1.395619	3.778983	
270000	-2308.353142	1	0.275727	0.185442	0.265646	0.200667	0.250000	0.250000	0.250000	0.250000	2.182072	0.289336	0.952903	1.150317	4.384284	0.043955	0.774142	9.451171	
300000	-2309.752345	1	0.264153	0.189930	0.267054	0.223047	0.250000	0.250000	0.250000	0.250000	2.163186	0.146980	0.640665	1.908950	0.194261	7.470432	0.855097	4.952003	
330000	-2307.724154	1	0.272993	0.194328	0.232957	0.190140	0.250000	0.250000	0.250000	0.250000	1.447913	6.145936	0.839442	8.731178	5.348027	0.180421	1.190184	2.029457	
360000	-2309.975047	1	0.257777	0.157368	0.216704	0.173953	0.250000	0.250000	0.250000	0.250000	0.313373	8.506227	3.271440	0.127147	1.947686	2.210586	0.207900	4.361693	
390000	-2313.437038	1	0.327207	0.187672	0.258023	0.166793	0.250000	0.250000	0.250000	0.250000	0.087061	1.013401	0.807052	0.334800	0.453764	2.340725	0.279088	1.809005	
420000	-2309.358769	1	0.296177	0.223989	0.235732	0.186878	0.250000	0.250000	0.250000	0.250000	2.881967	0.982096	0.605443	5.312770	8.539077	0.033884	0.839241	7.843427	
450000	-2308.229809	1	0.282992	0.211079	0.233796	0.168329	0.250000	0.250000	0.250000	0.250000	0.652320	7.740383	0.722983	8.058607	0.860469	2.495578	1.642615	0.417758	
