Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.002571300037	1.75338943917323	-4.549063	2.68761175
abar1238	2.274640788045	1.77692672854748	-0.96337185	5.96388875
aben1249	-1.6298215077635	1.73801886461856	-5.060239	1.8419275
abkh1244	1.119539475468	1.83135135325235	-2.46153325	4.70771175
abua1245	-0.102625812615	1.9577420394471	-3.89602625	3.77558775
abun1252	-2.0514333710645	2.06758922627111	-6.1408815	2.00034275
acha1249	-4.012832625025	1.75666789503367	-7.35540625	-0.6118351
ache1245	1.814589898505	2.06513600158553	-2.0266135	5.97117375
achi1256	0.26421547756	1.80315011150858	-3.23230925	3.94963174999999
achi1257	-2.2659550228925	1.75703025880778	-5.7606685	1.09262075
achu1247	-1.11812843711	1.97225002917699	-4.9917905	2.7478565
achu1248	-1.6006917654105	1.9351539340436	-5.32661625	2.220294
acol1236	-0.02018092527	1.67306020345508	-3.0774105	3.4002545
adan1251	-0.9927234119195	2.11655665646662	-5.0271325	3.2942895
adny1235	-2.0007528634675	1.86008118547981	-5.68037275	1.73121675
adon1237	-1.866618382172	1.72134364064507	-5.28422675	1.36072325
adze1240	-1.28769248024	1.73183074339664	-4.58394475	2.10563175
aeky1238	-1.640484861807	1.9726276414547	-5.487756	2.27956925
afar1241	1.7953340556685	1.64541864564016	-1.4337495	5.05902825
aghe1239	1.92978402565	1.68902072704657	-1.1954575	5.35607349999999
aghu1255	-1.85488509298	1.82340396864584	-5.4662345	1.7910835
agob1244	-0.00655801208415	2.02247443129319	-3.83155	3.85445249999999
agua1253	-1.5953627173615	1.94766984776789	-5.28269725	2.26951825
agut1237	-1.6829981627575	1.79171237718402	-5.14557225	1.95012975
aheu1239	-2.81295993833	1.73735942794969	-6.2292375	0.505392974999999
aika1237	-1.457300081536	1.97506494754577	-5.4641345	2.17684775
aime1238	-0.1415648490055	2.12295865375919	-4.26227325	4.06613924999999
ainu1240	1.16589622404	2.16679136987859	-2.91047325	5.7475275
ajas1235	0.9552432375235	1.86242949600688	-2.61468625	4.68683574999999
ajie1238	-1.6270365065525	1.7573412155022	-5.0536145	1.79654625
akei1237	-1.26427731937945	1.74022501274235	-4.665866	2.30809325
akha1245	-4.00486229474	1.75403315856539	-7.5134155	-0.580194075000002
akoo1248	2.5523616019	1.66600981883256	-0.526750525	6.0815945
akun1241	0.3229374924755	1.80734547870188	-3.090128	4.12120925
alab1237	-0.1930029336175	1.83411149938714	-3.80855425	3.49227725
alab1254	1.638339498435	1.61609777590396	-1.5487845	4.8827135
alac1244	-0.428896015645	1.80461217930545	-3.854971	3.25298925
alag1248	2.12711679154	1.64821456009807	-1.1154255	5.3302435
alba1269	-1.755312982725	1.71028161612064	-5.06388125	1.656788
aleu1260	-0.02490054397	1.94501657413691	-3.86117675	3.67306324999999
alor1247	-1.86610765245	1.74353489971584	-5.163304	1.51045525
aluk1238	-2.451076310305	1.73395592343528	-5.96872425	1.14876825
amam1246	-1.286444515646	1.91766448616715	-5.164771	2.596609
amap1240	-1.2976826716446	1.96606118705618	-5.07495825	2.80903225
amar1272	-0.95895518315	1.7775937310203	-4.450636	2.55940124999998
amar1274	-1.14458950753595	1.92120894077495	-4.8872145	2.5668325
amas1236	0.96692273145	2.02024619732505	-3.05800075	5.0781875
amdo1237	-3.3370955504	1.64523102851581	-6.45550075	-0.116562395000003
amii1238	-1.421020960885	1.91271319256016	-5.166215	2.294588
amis1246	-2.09747597471	1.76807772024645	-5.479606	1.264806
amri1238	-4.12404127915	1.74007058485419	-7.6903205	-0.777880750000004
anei1239	-1.32848569668	1.74488945323319	-4.6812965	2.09349325
anfi1235	0.014751427154	1.65613234425665	-3.22798525	3.34461
anga1288	-4.10160378292	1.74497310188589	-7.54645625	-0.690004825000001
anga1290	-0.9777053470505	1.94669093346633	-4.82708575	2.78941774999999
anta1255	-2.181068668391	1.76831882553289	-5.76340775	1.12992125
anua1242	-0.143241157816	1.63242164778791	-3.28867525	3.12995025
anuf1239	0.076951976319	1.68029247235803	-3.2977665	3.33401325
anut1237	-1.416502583535	1.69420858283925	-4.7252595	1.90291225
anuu1241	-3.96227717975	1.74188504065671	-7.2696655	-0.594584725
aona1235	-4.1053830965	1.74553253618359	-7.60125625	-0.823040375
aoua1234	-3.745259064175	2.09799812631224	-7.886255	0.186492374999994
apat1240	-3.98302188938	1.77640100778262	-7.47083125	-0.485932275000003
apin1244	-1.64082190189	1.8783203831358	-5.36690275	1.9711235
apma1240	-1.6374094862245	1.7602201100754	-5.02216975	1.78230174999999
apur1254	-1.46023139894	1.77077749693394	-4.95362075	1.935549
arak1252	-1.4947702480175	1.74472694815206	-4.8427315	2.06784775
arao1248	-1.444321504201	1.73925409332721	-4.8273325	1.98356275
arap1274	0.41734348188	1.74996878133558	-3.001544	3.92837075
araw1276	-1.37855758045	1.82496702976023	-5.11669125	2.068703
