Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.472572055905	2.37808587436662	-6.27171425	2.92258824999999
abar1238	-0.5656416290241	2.54348092439277	-6.0286305	4.1937
abee1242	-0.265618363398	2.61351774000188	-5.456122	4.80400425
abkh1244	-2.12440692379715	2.37250064469035	-7.1911935	2.488074
abua1245	1.1454968921235	2.08074661757387	-2.762803	5.46782699999999
abun1252	-0.865012655859	2.31404105397394	-5.80866375	3.29743375
acha1249	-1.6305894917735	2.41647030391843	-6.8973775	2.71890875
acha1250	-0.41449741971095	2.39914652787326	-5.29025325	4.07675125
ache1245	-1.1179050884764	2.3979718722469	-6.19382675	3.22604325
ache1246	-0.364936942935	2.58421747108501	-6.001517	4.74988725
achi1256	-0.86404428012	2.45242791543212	-6.12814825	3.93097625
achi1257	-0.0325850799825	2.53060802334148	-5.158772	4.77349975
achu1247	0.06241574434	2.32498768262949	-4.36924425	4.73870075
achu1248	0.060032377075	2.39583449463882	-5.1509345	4.68965574999999
acol1236	-0.4806794675	2.37957577043062	-5.3303525	3.99718875
adan1251	-0.779331640545	2.43733115003733	-5.71622075	3.7631105
adon1237	-0.42113176392	2.54845219954077	-5.586044	4.7281855
adze1240	-1.0267599867247	2.39952241451351	-6.13774225	3.24195275
aeky1238	-0.4621517403165	2.2559876242801	-5.25786475	3.69062349999999
afar1241	3.91811117628	2.45466919557623	-0.4233582	9.2435805
aghe1239	-0.535959402105	2.51635264212262	-5.9105895	4.19474224999999
aghu1255	-0.113962826645	2.48930281938044	-5.30477075	4.82593949999999
agob1244	0.242338672175	2.24510795528138	-4.23141525	4.653711
agus1235	0.410716374605	2.4775983514365	-4.54529875	5.447262
agut1237	-0.2508923950795	2.49690088884847	-5.21024525	4.526256
aheu1239	-0.5861082572558	2.47169989713215	-5.6961865	4.22519275
aime1238	0.860832579509	2.20970507211212	-3.5389185	5.55088125
ainu1240	0.8636060090565	2.40097244083144	-3.69487375	6.02473425
ajab1235	-0.40540368365	2.5072334656946	-5.41430775	4.460716
ajas1235	-0.2921885216115	2.57095677264673	-5.5179265	4.80830649999999
ajie1238	-0.06227829624	2.63315876171887	-5.17493025	5.305671
akei1237	-0.284193067485	2.50055078914169	-5.63619625	4.713089
akha1245	-1.664666984309	2.30697028263373	-7.02914325	2.48887825
akoo1248	-0.404318753245	2.38493027526752	-5.49702925	4.22336899999999
akun1241	-1.019912881715	2.52280608089757	-6.57784125	3.57782925
alab1237	-0.41839617307	2.47663628730499	-5.67016325	4.04822749999999
alab1254	2.9147533807585	2.01425066693458	-0.7894582	7.13006375
alac1244	-1.243889988045	2.40286901546399	-6.3585815	3.27249025
alag1248	-0.6754390252	2.36303209445382	-5.45638575	3.83208925
alba1269	-0.23066132373915	2.5128798763161	-5.45297575	4.3922595
