Options:																														
Model:                           Discrete: Dependent																														
Tree File Name:                  pruned_tree.trees																														
Data File Name:                  BT_data.txt																														
Log File Name:                   res_dep.txt.Log.txt																														
Save Initial Trees:              False																														
Save Trees:                      False																														
Summary:                         False																														
Seed:                            4268589876																														
Precision:                       64 bits																														
Cores:                           2																														
Analysis Type:                   MCMC																														
Sample Period:                   30000																														
Iterations:                      30300000																														
Burn in:                         300000																														
MCMC ML Start:                   False																														
Schedule File:                   res_dep.txt.Schedule.txt																														
Rate Dev:                        AutoTune																														
No of Rates:                     8																														
Base frequency (PI's):           None																														
Character Symbols:               00,01,10,11																														
Using a covarion model:          False																														
Normalise Q Matrix:              False																														
Restrictions:																														
360000	-1598.856965	47	0.097172	0.020825	0.167326	0.170951	0.19867	0.604456	0.042129	0.156577	0.249958	0.249995	0.250016	0.250032	0.629003	4.807707	0.348423	7.505007	2.176703	0.099042	0.626221	2.00454	0.585652	6.607277	1.121942	3.694624	0.938868	1.149255	3.319747	0.158794
390000	-1596.001779	47	0.102351	0.021329	0.18831	0.183248	0.088391	0.456273	0.049081	0.127182	0.251363	0.250327	0.249282	0.249028	0.127336	2.114137	0.94051	1.776981	2.063107	3.86014	0.703899	8.52954	0.704848	5.834429	0.798175	1.462899	1.462482	0.438764	0.335647	4.423856
420000	-1597.309043	47	0.113739	0.01855	0.159718	0.171243	0.137233	0.578079	0.034773	0.138231	0.251223	0.250241	0.249437	0.249098	0.438741	6.739066	0.089527	4.27657	1.900265	1.734466	0.106846	7.624784	0.192306	0.912019	0.472227	4.507654	0.729332	6.902964	0.305469	7.2332
450000	-1597.148105	47	0.091761	0.02462	0.14462	0.21112	0.128175	0.445697	0.043143	0.102659	0.251647	0.250074	0.249409	0.24887	0.863424	0.966852	0.33045	6.905631	2.311134	0.134609	0.575956	0.500514	3.531069	0.106111	1.538319	4.198422	0.459614	5.978924	0.636352	1.111757
480000	-1600.63288	47	0.074094	0.008295	0.15399	0.176198	0.127565	0.383723	0.024093	0.120157	0.251625	0.250221	0.249408	0.248747	0.640157	8.796478	0.911246	2.718181	1.181636	1.337255	0.289259	5.622616	1.192031	0.28118	1.056989	1.42436	0.204431	2.131464	0.807879	0.451851
510000	-1598.403143	47	0.091815	0.024718	0.13025	0.188665	0.117721	0.326913	0.042588	0.121428	0.250711	0.250015	0.249772	0.249503	0.455171	6.394755	0.585074	0.54369	0.761063	1.991732	0.905398	5.449124	1.391815	6.957092	0.132268	5.391335	0.682477	2.55334	0.353035	4.965261
540000	-1597.559816	47	0.116823	0.022537	0.19974	0.18845	0.137876	0.522993	0.047135	0.138751	0.250356	0.250081	0.249833	0.24973	0.610172	4.828521	0.194631	6.541717	1.896558	0.508184	0.072557	5.67617	0.798152	1.855372	0.295978	2.530521	0.808599	2.568961	0.272752	8.696911
570000	-1595.738726	47	0.090681	0.021759	0.151588	0.173206	0.148623	0.492804	0.027148	0.150642	0.25097	0.250126	0.249619	0.249285	2.286832	0.092325	0.200047	7.745096	1.108545	0.204872	2.523869	0.410908	0.414667	3.851465	0.877855	4.042311	0.062477	4.322962	0.63184	7.314328
600000	-1596.870189	47	0.074919	0.024759	0.143596	0.137071	0.136207	0.42266	0.035995	0.119748	0.250503	0.250109	0.249787	0.249601	0.801795	0.064845	0.135411	2.78961	3.538863	0.100879	0.512419	1.62797	0.183667	2.866567	0.085155	3.050696	0.128076	6.106678	1.97475	0.72066
630000	-1597.534576	47	0.073886	0.021231	0.162242	0.166767	0.144371	0.505027	0.054037	0.135348	0.249615	0.249949	0.250161	0.250274	0.267986	0.604312	0.521244	0.0784	0.587411	3.153909	0.359409	6.011099	0.197142	4.302843	1.581209	0.157948	0.719067	0.156925	1.22832	0.302747
660000	-1598.068944	47	0.088694	0.027109	0.118595	0.159538	0.163626	0.447562	0.026875	0.141175	0.250575	0.250027	0.249817	0.24958	2.707791	0.074331	2.114958	0.077678	0.476324	0.363703	0.235939	7.347827	1.490662	4.653902	3.577309	1.396842	0.351857	5.99504	0.395994	6.65554
690000	-1594.868556	47	0.085918	0.015898	0.17322	0.186584	0.145373	0.433182	0.033421	0.122072	0.250875	0.250117	0.249671	0.249337	2.418743	0.747337	0.531544	5.803238	0.16556	2.318404	2.26838	0.135058	0.829942	3.361702	1.268049	1.48016	0.450129	0.981578	0.342844	8.135634
720000	-1596.608715	47	0.082776	0.012058	0.14858	0.175241	0.14519	0.554251	0.03923	0.161869	0.250013	0.250009	0.249993	0.249986	0.419892	9.237039	0.120015	7.038852	0.229606	5.284193	0.800675	3.860253	0.160983	3.642109	1.792506	0.662965	0.355168	2.153859	0.431508	8.898649
